,id,movie keywords,movie budget,movie genre,movie original language,movie release date,movie revenue,movie runtime,movie spoken languages,vote_average,movie title,movie rating,book authors,book rating,book pages,book publisher,book ratings sum,movie return
40,2742,"[{'id': 818, 'name': 'based on novel'}, {'id': 1731, 'name': 'writing'}, {'id': 3298, 'name': 'hallucination'}, {'id': 10183, 'name': 'independent film'}, {'id': 13028, 'name': 'writer'}, {'id': 15037, 'name': 'bug'}, {'id': 156117, 'name': 'illegal drugs'}, {'id': 158120, 'name': 'exterminator'}, {'id': 205781, 'name': 'beat generation'}, {'id': 230644, 'name': 'lynchian'}]",16000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,1991-12-27,,115.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]",7.0,Naked Lunch,3.61,William S. Burroughs/James Grauerholz/Barry Miles,3.46,289,Grove Press,7888,
41,67794,"[{'id': 818, 'name': 'based on novel'}, {'id': 14636, 'name': 'india'}, {'id': 34094, 'name': 'extramarital affair'}]",,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1983-01-01,,133.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.9,Heat and Dust,3.44,Ruth Prawer Jhabvala,3.55,190,Counterpoint,1480438,
42,17365,"[{'id': 417, 'name': 'corruption'}, {'id': 441, 'name': 'assassination'}, {'id': 818, 'name': 'based on novel'}, {'id': 2944, 'name': 'senator'}, {'id': 12193, 'name': 'reporter'}, {'id': 33501, 'name': 'political'}]",,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,1974-06-14,,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.9,The Parallax View,3.66,Slavoj Žižek,4,433,MIT Press (MA),3623,
43,18923,"[{'id': 237, 'name': 'gay'}, {'id': 740, 'name': 'aids'}, {'id': 818, 'name': 'based on novel'}, {'id': 11130, 'name': 'art house'}, {'id': 46959, 'name': 'tantrum'}, {'id': 154937, 'name': 'bisexual'}, {'id': 158718, 'name': 'lgbt'}]",6500000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,2004-07-23,1548955.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,A Home at the End of the World,3.46,Michael Cunningham,3.91,342,Picador,4815,0.23830076923076923
44,17663,"[{'id': 818, 'name': 'based on novel'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1329, 'name': 'canada'}, {'id': 5331, 'name': 'village'}, {'id': 9673, 'name': 'love'}, {'id': 10873, 'name': 'school'}, {'id': 11162, 'name': 'miniseries'}, {'id': 12392, 'name': 'best friend'}, {'id': 13014, 'name': 'orphan'}, {'id': 15126, 'name': 'historical'}, {'id': 161155, 'name': 'kids'}, {'id': 214484, 'name': 'redhead girl'}]",,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,1985-12-01,,199.0,"[{'iso_639_1': 'en', 'name': 'English'}]",8.2,Anne of Green Gables,3.92,L.M. Montgomery/Barbara Caruso,4.25,9,Recorded Books  Inc.,9626,
45,54407,"[{'id': 818, 'name': 'based on novel'}, {'id': 10183, 'name': 'independent film'}]",3400000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1985-10-04,660537.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.2,Bliss,3.2,Lynsay Sands,3.97,394,Leisure Books,65998,0.19427558823529412
46,3509,"[{'id': 387, 'name': 'california'}, {'id': 703, 'name': 'detective'}, {'id': 818, 'name': 'based on novel'}, {'id': 1566, 'name': 'dream'}, {'id': 1568, 'name': 'undercover'}, {'id': 2150, 'name': 'cocaine'}, {'id': 2588, 'name': 'brain'}, {'id': 2866, 'name': 'exam'}, {'id': 2964, 'name': 'future'}, {'id': 4394, 'name': 'test'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4967, 'name': 'assignment'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 14964, 'name': 'drug'}, {'id': 18420, 'name': 'surveillance'}, {'id': 180440, 'name': 'totalitarian'}, {'id': 188950, 'name': 'corporation'}, {'id': 202550, 'name': 'substance'}, {'id': 202551, 'name': 'schizophrenic'}, {'id': 202553, 'name': 'condition'}, {'id': 207268, 'name': 'neo-noir'}]",8700000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,2006-05-25,7659918.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,A Scanner Darkly,3.61,Philip K. Dick,4.02,219,Gollancz,3581,0.8804503448275862
47,9009,"[{'id': 818, 'name': 'based on novel'}, {'id': 4237, 'name': 'water'}, {'id': 9714, 'name': 'remake'}, {'id': 10508, 'name': 'teacher'}, {'id': 15160, 'name': 'divorce'}, {'id': 33632, 'name': 'apartment'}, {'id': 162846, 'name': 'ghost'}, {'id': 168346, 'name': 'manhattan, new york city'}]",30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,2005-06-27,25473093.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.3,Dark Water,2.76,Kōji Suzuki/Glynne Walley,3.61,279,Vertical,382146,0.8491031
48,9388,"[{'id': 494, 'name': 'father son relationship'}, {'id': 592, 'name': 'capitalism'}, {'id': 818, 'name': 'based on novel'}, {'id': 919, 'name': 'smoking'}, {'id': 2251, 'name': 'lie'}, {'id': 3170, 'name': 'cigarette'}, {'id': 3664, 'name': 'research'}, {'id': 3703, 'name': 'law'}, {'id': 3721, 'name': 'health'}, {'id': 3983, 'name': 'marketing'}, {'id': 6078, 'name': 'politics'}, {'id': 6083, 'name': 'politician'}, {'id': 6357, 'name': 'tobacco'}, {'id': 9468, 'name': 'liar'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10163, 'name': 'cancer'}, {'id': 10183, 'name': 'independent film'}, {'id': 10594, 'name': 'money'}, {'id': 11011, 'name': 'morality'}, {'id': 11514, 'name': 'social satire'}, {'id': 11732, 'name': 'cigarette smoking'}, {'id': 12094, 'name': 'business'}, {'id': 15086, 'name': 'advertising'}, {'id': 33720, 'name': 'guilt'}, {'id': 33740, 'name': 'humiliation'}, {'id': 159350, 'name': 'lobby'}, {'id': 171439, 'name': 'bribe'}, {'id': 188950, 'name': 'corporation'}, {'id': 209121, 'name': 'lung cancer'}, {'id': 219605, 'name': 'lobbyist'}, {'id': 219681, 'name': 'tobacco industry'}, {'id': 219731, 'name': 'nicotine'}]",6500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,2005-09-05,24793509.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.1,Thank You for Smoking,3.83,Christopher Buckley,3.93,272,Random House Trade Paperbacks,1596,3.814386
49,591,"[{'id': 90, 'name': 'paris'}, {'id': 113, 'name': 'holy grail'}, {'id': 186, 'name': 'christianity'}, {'id': 345, 'name': 'monk'}, {'id': 818, 'name': 'based on novel'}, {'id': 1222, 'name': 'zurich'}, {'id': 2908, 'name': 'secret society'}, {'id': 2966, 'name': 'louvre'}, {'id': 2969, 'name': 'curator'}, {'id': 2970, 'name': 'symbologist'}, {'id': 2975, 'name': 'opus dei'}, {'id': 2976, 'name': 'heresy'}, {'id': 2978, 'name': 'mona lisa'}, {'id': 4008, 'name': 'freemason'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 11855, 'name': 'pentagram'}, {'id': 156081, 'name': 'tomb'}, {'id': 161207, 'name': 'catholicism'}, {'id': 161507, 'name': 'cryptologist'}, {'id': 161508, 'name': 'iconography'}, {'id': 163531, 'name': 'albino'}, {'id': 173162, 'name': 'sect'}]",125000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,2006-05-17,767820459.0,149.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'es', 'name': 'Español'}]",6.5,The Da Vinci Code,3.14,Dan Brown,3.84,467,Broadway Books,1154,6.142563672
